Node,X,Y,Z
419,185.000000,195.000000,19.500000
420,195.000000,195.000000,19.500000
421,5.000000,185.000000,19.500000
422,15.000000,185.000000,19.500000
423,25.000000,185.000000,19.500000
424,35.000000,185.000000,19.500000
425,45.000000,185.000000,19.500000
426,55.000000,185.000000,19.500000
427,65.000000,185.000000,19.500000
428,75.000000,185.000000,19.500000
429,85.000000,185.000000,19.500000
430,95.000000,185.000000,19.500000
431,105.000000,185.000000,19.500000
432,115.000000,185.000000,19.500000
433,125.000000,185.000000,19.500000
434,135.000000,185.000000,19.500000
435,145.000000,185.000000,19.500000
436,155.000000,185.000000,19.500000
437,165.000000,185.000000,19.500000
438,175.000000,185.000000,19.500000
439,185.000000,185.000000,19.500000
440,195.000000,185.000000,19.500000
441,5.000000,175.000000,19.500000
442,15.000000,175.000000,19.500000
443,25.000000,175.000000,19.500000
444,35.000000,175.000000,19.500000
445,45.000000,175.000000,19.500000
446,55.000000,175.000000,19.500000
447,65.000000,175.000000,19.500000
448,75.000000,175.000000,19.500000
449,85.000000,175.000000,19.500000
450,95.000000,175.000000,19.500000
451,105.000000,175.000000,19.500000
452,115.000000,175.000000,19.500000
453,125.000000,175.000000,19.500000
454,135.000000,175.000000,19.500000
455,145.000000,175.000000,19.500000
456,155.000000,175.000000,19.500000
457,165.000000,175.000000,19.500000
458,175.000000,175.000000,19.500000
459,185.000000,175.000000,19.500000
460,195.000000,175.000000,19.500000
461,5.000000,165.000000,19.500000
462,15.000000,165.000000,19.500000
463,25.000000,165.000000,19.500000
464,35.000000,165.000000,19.500000
465,45.000000,165.000000,19.500000
466,55.000000,165.000000,19.500000
467,65.000000,165.000000,19.500000
468,75.000000,165.000000,19.500000
469,85.000000,165.000000,19.500000
470,95.000000,165.000000,19.500000
471,105.000000,165.000000,19.500000
472,115.000000,165.000000,19.500000
473,125.000000,165.000000,19.500000
474,135.000000,165.000000,19.500000
475,145.000000,165.000000,19.500000
476,155.000000,165.000000,19.500000
477,165.000000,165.000000,19.500000
478,175.000000,165.000000,19.500000
479,185.000000,165.000000,19.500000
480,195.000000,165.000000,19.500000
481,5.000000,155.000000,19.500000
482,15.000000,155.000000,19.500000
483,25.000000,155.000000,19.500000
484,35.000000,155.000000,19.500000
485,45.000000,155.000000,19.500000
486,55.000000,155.000000,19.500000
487,65.000000,155.000000,19.500000
488,75.000000,155.000000,19.500000
489,85.000000,155.000000,19.500000
490,95.000000,155.000000,19.500000
491,105.000000,155.000000,19.500000
492,115.000000,155.000000,19.500000
493,125.000000,155.000000,19.500000
494,135.000000,155.000000,19.500000
495,145.000000,155.000000,19.500000
496,155.000000,155.000000,19.500000
497,165.000000,155.000000,19.500000
498,175.000000,155.000000,19.500000
499,185.000000,155.000000,19.500000
500,195.000000,155.000000,19.500000
501,5.000000,145.000000,19.500000
502,15.000000,145.000000,19.500000
503,25.000000,145.000000,19.500000
504,35.000000,145.000000,19.500000
505,45.000000,145.000000,19.500000
506,55.000000,145.000000,19.500000
507,65.000000,145.000000,19.500000
508,75.000000,145.000000,19.500000
509,85.000000,145.000000,19.500000
510,95.000000,145.000000,19.500000
511,105.000000,145.000000,19.500000
512,115.000000,145.000000,19.500000
513,125.000000,145.000000,19.500000
514,135.000000,145.000000,19.500000
515,145.000000,145.000000,19.500000
516,155.000000,145.000000,19.500000
517,165.000000,145.000000,19.500000
518,175.000000,145.000000,19.500000
519,185.000000,145.000000,19.500000
520,195.000000,145.000000,19.500000
521,5.000000,135.000000,19.500000
522,15.000000,135.000000,19.500000
523,25.000000,135.000000,19.500000
524,35.000000,135.000000,19.500000
525,45.000000,135.000000,19.500000
526,55.000000,135.000000,19.500000
527,65.000000,135.000000,19.500000
528,75.000000,135.000000,19.500000
529,85.000000,135.000000,19.500000
530,95.000000,135.000000,19.500000
531,105.000000,135.000000,19.500000
532,115.000000,135.000000,19.500000
533,125.000000,135.000000,19.500000
534,135.000000,135.000000,19.500000
535,145.000000,135.000000,19.500000
536,155.000000,135.000000,19.500000
537,165.000000,135.000000,19.500000
538,175.000000,135.000000,19.500000
539,185.000000,135.000000,19.500000
540,195.000000,135.000000,19.500000
541,5.000000,125.000000,19.500000
542,15.000000,125.000000,19.500000
543,25.000000,125.000000,19.500000
544,35.000000,125.000000,19.500000
545,45.000000,125.000000,19.500000
546,55.000000,125.000000,19.500000
547,65.000000,125.000000,19.500000
548,75.000000,125.000000,19.500000
549,85.000000,125.000000,19.500000
550,95.000000,125.000000,19.500000
551,105.000000,125.000000,19.500000
552,115.000000,125.000000,19.500000
553,125.000000,125.000000,19.500000
554,135.000000,125.000000,19.500000
555,145.000000,125.000000,19.500000
556,155.000000,125.000000,19.500000
557,165.000000,125.000000,19.500000
558,175.000000,125.000000,19.500000
559,185.000000,125.000000,19.500000
560,195.000000,125.000000,19.500000
561,5.000000,115.000000,19.500000
562,15.000000,115.000000,19.500000
563,25.000000,115.000000,19.500000
564,35.000000,115.000000,19.500000
565,45.000000,115.000000,19.500000
566,55.000000,115.000000,19.500000
567,65.000000,115.000000,19.500000
568,75.000000,115.000000,19.500000
569,85.000000,115.000000,19.500000
570,95.000000,115.000000,19.500000
571,105.000000,115.000000,19.500000
572,115.000000,115.000000,19.500000
573,125.000000,115.000000,19.500000
574,135.000000,115.000000,19.500000
575,145.000000,115.000000,19.500000
576,155.000000,115.000000,19.500000
577,165.000000,115.000000,19.500000
578,175.000000,115.000000,19.500000
579,185.000000,115.000000,19.500000
580,195.000000,115.000000,19.500000
581,5.000000,105.000000,19.500000
582,15.000000,105.000000,19.500000
583,25.000000,105.000000,19.500000
584,35.000000,105.000000,19.500000
585,45.000000,105.000000,19.500000
586,55.000000,105.000000,19.500000
587,65.000000,105.000000,19.500000
588,75.000000,105.000000,19.500000
589,85.000000,105.000000,19.500000
590,95.000000,105.000000,19.500000
591,105.000000,105.000000,19.500000
592,115.000000,105.000000,19.500000
593,125.000000,105.000000,19.500000
594,135.000000,105.000000,19.500000
595,145.000000,105.000000,19.500000
596,155.000000,105.000000,19.500000
597,165.000000,105.000000,19.500000
598,175.000000,105.000000,19.500000
599,185.000000,105.000000,19.500000
600,195.000000,105.000000,19.500000
601,5.000000,95.000000,19.500000
602,15.000000,95.000000,19.500000
603,25.000000,95.000000,19.500000
604,35.000000,95.000000,19.500000
605,45.000000,95.000000,19.500000
606,55.000000,95.000000,19.500000
607,65.000000,95.000000,19.500000
608,75.000000,95.000000,19.500000
609,85.000000,95.000000,19.500000
610,95.000000,95.000000,19.500000
611,105.000000,95.000000,19.500000
612,115.000000,95.000000,19.500000
613,125.000000,95.000000,19.500000
614,135.000000,95.000000,19.500000
615,145.000000,95.000000,19.500000
616,155.000000,95.000000,19.500000
617,165.000000,95.000000,19.500000
618,175.000000,95.000000,19.500000
619,185.000000,95.000000,19.500000
620,195.000000,95.000000,19.500000
621,5.000000,85.000000,19.500000
622,15.000000,85.000000,19.500000
623,25.000000,85.000000,19.500000
624,35.000000,85.000000,19.500000
625,45.000000,85.000000,19.500000
626,55.000000,85.000000,19.500000
627,65.000000,85.000000,19.500000
628,75.000000,85.000000,19.500000
629,85.000000,85.000000,19.500000
630,95.000000,85.000000,19.500000
631,105.000000,85.000000,19.500000
632,115.000000,85.000000,19.500000
633,125.000000,85.000000,19.500000
634,135.000000,85.000000,19.500000
635,145.000000,85.000000,19.500000
636,155.000000,85.000000,19.500000
637,165.000000,85.000000,19.500000
638,175.000000,85.000000,19.500000
639,185.000000,85.000000,19.500000
640,195.000000,85.000000,19.500000
641,5.000000,75.000000,19.500000
642,15.000000,75.000000,19.500000
643,25.000000,75.000000,19.500000
644,35.000000,75.000000,19.500000
645,45.000000,75.000000,19.500000
646,55.000000,75.000000,19.500000
647,65.000000,75.000000,19.500000
648,75.000000,75.000000,19.500000
649,85.000000,75.000000,19.500000
650,95.000000,75.000000,19.500000
651,105.000000,75.000000,19.500000
652,115.000000,75.000000,19.500000
653,125.000000,75.000000,19.500000
654,135.000000,75.000000,19.500000
655,145.000000,75.000000,19.500000
656,155.000000,75.000000,19.500000
657,165.000000,75.000000,19.500000
658,175.000000,75.000000,19.500000
659,185.000000,75.000000,19.500000
660,195.000000,75.000000,19.500000
661,5.000000,65.000000,19.500000
662,15.000000,65.000000,19.500000
663,25.000000,65.000000,19.500000
664,35.000000,65.000000,19.500000
665,45.000000,65.000000,19.500000
666,55.000000,65.000000,19.500000
667,65.000000,65.000000,19.500000
668,75.000000,65.000000,19.500000
669,85.000000,65.000000,19.500000
670,95.000000,65.000000,19.500000
671,105.000000,65.000000,19.500000
672,115.000000,65.000000,19.500000
673,125.000000,65.000000,19.500000
674,135.000000,65.000000,19.500000
675,145.000000,65.000000,19.500000
676,155.000000,65.000000,19.500000
677,165.000000,65.000000,19.500000
678,175.000000,65.000000,19.500000
